Model,MAE,MSE,R2
LinearRegression,82657.9460589176,10549721686.157967,0.9146454505138175
RobustRegression,199465.55955429297,61664910393.24938,0.5010881990728187
RidgeRegression,82659.67244409773,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
PolynomialRegression,82894.44780583413,10604968648.293991,0.9141984643558995
SGDRegressor,5.2701761376063155e+17,2.8283715214308033e+35,-2.288348301245033e+24
ANN,199144.7828139871,61425304976.620476,0.5030267727147795
RandomForest,98342.94601388309,14953408914.751127,0.8790165732167226
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGboost,102160.92081000573,15943249530.43311,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
